branch,checkpoint_step,cumulative_step,prompt_epoch,score_cmd_f1_x100,next_action_score,first_cmd_exact_pct,valid_json_pct,early_f1_x100,mid_f1_x100,late_f1_x100,file
parentrun,1400,1400,1.8666666666666667,53.09,52.4,50.8,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1400.json
parentrun,1410,1410,1.88,52.43,52.06,51.2,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1410.json
parentrun,1420,1420,1.8933333333333333,50.93,51.1,51.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1420.json
parentrun,1430,1430,1.9066666666666667,52.63,52.08,50.8,79.5,,,,lfm25-echo-rlvr-parentrun-checkpoint-1430.json
parentrun,1440,1440,1.92,51.8,51.11,49.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1440.json
parentrun,1450,1450,1.9333333333333333,52.19,52.16,52.1,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1450.json
parentrun,1460,1460,1.9466666666666668,52.55,51.84,50.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1460.json
parentrun,1470,1470,1.96,51.19,50.08,47.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1470.json
parentrun,1480,1480,1.9733333333333334,52.57,51.44,48.8,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1480.json
parentrun,1490,1490,1.9866666666666666,52.9,52.39,51.2,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1490.json
parentrun,1500,1500,2.0,52.42,52.05,51.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1500.json
parentrun,1510,1510,2.013333333333333,52.41,52.32,52.1,73.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1510.json
parentrun,1520,1520,2.026666666666667,51.38,50.43,48.2,73.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1520.json
parentrun,1530,1530,2.04,51.49,50.5,48.2,74.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1530.json
parentrun,1540,1540,2.0533333333333332,51.09,51.0,50.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1540.json
parentrun,1550,1550,2.066666666666667,51.8,51.41,50.5,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1550.json
parentrun,1560,1560,2.08,51.48,50.68,48.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1560.json
parentrun,1570,1570,2.0933333333333333,52.08,51.61,50.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1570.json
parentrun,1580,1580,2.1066666666666665,52.04,51.67,50.8,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1580.json
parentrun,1590,1590,2.12,51.48,50.98,49.8,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1590.json
parentrun,1600,1600,2.1333333333333333,50.84,49.84,47.5,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1600.json
parentrun,1610,1610,2.1466666666666665,51.55,50.93,49.5,73.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1610.json
parentrun,1620,1620,2.16,51.76,51.17,49.8,74.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1620.json
parentrun,1630,1630,2.1733333333333333,51.65,50.7,48.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1630.json
parentrun,1640,1640,2.1866666666666665,52.53,51.62,49.5,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1640.json
parentrun,1650,1650,2.2,51.79,50.71,48.2,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1650.json
parentrun,1660,1660,2.2133333333333334,51.65,51.0,49.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1660.json
